number_id,call_date,part_date,count_call_in,count_call_out,count_sms_in,count_sms_out,all_duration,sum_price
237494,13.03.2013,3,3,7,0,6,814,0.96
90258,06.03.2013,2,1,0,0,0,91,0.00
430547,02.02.2013,1,1,1,0,0,35,0.05
346626,27.02.2013,2,4,5,2,0,408,0.19
430547,27.03.2013,2,1,0,0,0,88,0.00
147782,12.03.2013,3,0,2,0,0,414,0.72
393888,29.03.2013,2,3,2,0,2,371,0.02
192799,17.03.2013,1,3,0,0,0,82,0.00
346626,20.02.2013,2,3,2,2,0,139,0.14
445357,23.02.2013,3,0,1,0,0,102,0.08
308983,15.01.2013,1,0,0,0,1,0,0.00
346626,22.03.2013,1,1,1,0,0,273,0.02
192799,01.03.2013,1,7,0,2,0,495,0.00
292478,21.03.2013,1,3,0,0,0,141,0.00
346626,11.03.2013,2,0,1,2,2,156,0.02
222411,08.02.2013,1,1,3,0,1,147,0.14
189866,26.02.2013,3,2,0,0,0,930,0.00
237494,30.01.2013,3,2,3,0,1,423,0.13
237494,01.03.2013,2,4,6,0,0,581,0.45
147782,04.03.2013,2,2,1,0,0,92,0.14
237494,19.01.2013,2,0,5,0,0,346,0.09
189866,14.03.2013,2,2,0,0,0,3,0.00
147782,27.03.2013,1,1,1,0,0,37,0.11
237494,06.02.2013,1,3,2,0,4,170,0.22
192799,16.02.2013,2,4,5,1,0,142,0.06
237494,02.02.2013,2,2,3,0,0,827,0.43
86280,05.03.2013,3,1,3,0,0,367,0.06
114583,24.02.2013,1,0,1,0,0,97,0.07
189866,14.03.2013,1,0,2,0,0,211,0.05
189866,13.01.2013,3,4,0,0,0,581,0.00
189866,12.02.2013,2,4,7,0,1,4213,0.38
340671,18.03.2013,2,2,1,0,0,227,0.08
308983,09.03.2013,2,1,0,0,1,63,0.00
189866,10.03.2013,3,1,2,0,0,197,0.09
340671,19.02.2013,2,1,0,0,0,25,0.00
430547,18.01.2013,3,3,2,0,1,445,0.10
430547,17.02.2013,2,2,5,0,1,132,0.26
430547,07.03.2013,1,4,1,0,0,376,0.05
322696,12.01.2013,1,0,1,0,1,558,0.55
393888,31.01.2013,2,1,3,0,0,422,0.27
346626,17.02.2013,1,0,3,0,0,1045,0.94
430547,19.03.2013,1,1,1,0,0,224,0.10
322696,19.01.2013,1,1,1,0,0,402,0.05
86280,22.02.2013,1,2,2,3,1,465,0.11
292478,27.02.2013,3,0,1,0,0,263,1.68
430547,04.03.2013,3,2,1,0,0,185,0.05
189866,03.02.2013,1,4,2,1,0,1883,0.05
192799,07.02.2013,1,0,3,0,0,76,0.04
430547,05.02.2013,2,1,2,0,0,69,0.10
292478,23.01.2013,2,4,2,0,0,212,0.19
292478,22.02.2013,1,2,1,1,0,75,0.05
393888,29.03.2013,1,1,0,3,0,906,0.00
292478,27.01.2013,0,1,0,0,0,79,0.00
114583,21.01.2013,3,3,4,2,0,1047,0.35
114583,20.02.2013,2,5,3,0,0,709,0.24
86280,26.01.2013,3,0,1,0,0,44,0.01
189866,19.01.2013,3,1,1,0,0,305,0.02
322696,15.02.2013,2,1,0,1,0,62,0.00
393888,27.02.2013,2,1,1,0,0,93,2.07
393888,28.01.2013,3,5,4,0,0,1689,0.49
86280,28.02.2013,1,2,7,0,0,1815,0.37
445357,07.02.2013,1,1,0,0,1,34,0.00
393888,28.03.2013,1,0,1,0,0,780,0.66
292478,23.01.2013,1,4,0,0,0,149,0.00
147782,16.03.2013,2,2,2,1,0,381,0.23
192799,01.02.2013,1,0,0,1,0,0,0.00
237494,22.01.2013,0,0,0,0,1,0,0.00
431126,14.02.2013,1,3,0,1,0,155,0.00
445357,10.03.2013,1,0,2,0,0,25,0.09
222411,11.03.2013,3,1,0,0,0,108,0.00
340671,06.03.2013,3,1,1,0,0,43,0.05
431126,10.02.2013,2,1,0,0,0,2201,0.00
445357,08.02.2013,2,0,1,1,0,352,0.06
431126,12.03.2013,1,0,3,0,0,83,0.13
222411,12.02.2013,3,0,1,0,0,225,0.03
147782,01.03.2013,1,2,0,0,0,106,0.00
189866,30.03.2013,3,0,0,2,0,0,0.00
430547,16.03.2013,3,0,1,0,0,32,0.05
322696,23.02.2013,3,0,1,0,1,58,0.08
393888,19.02.2013,1,4,5,0,0,239,0.25
346626,21.03.2013,3,1,0,0,6,1027,0.26
86280,29.01.2013,2,5,2,0,0,636,0.05
445357,19.01.2013,1,1,0,0,0,66,0.00
346626,31.03.2013,3,0,2,0,1,337,0.46
237494,28.03.2013,1,3,1,0,0,214,0.01
393888,23.01.2013,1,1,2,0,0,131,0.11
222411,15.03.2013,2,0,5,6,1,253,0.38
222411,21.03.2013,2,1,2,0,0,197,0.16
346626,21.02.2013,3,0,1,0,1,19,0.12
292478,23.02.2013,1,2,0,0,0,552,0.00
292478,24.01.2013,2,2,0,0,0,193,0.00
431126,12.02.2013,2,0,0,1,0,0,0.00
275860,09.02.2013,2,3,2,0,0,275,0.05
266907,31.03.2013,2,5,1,0,0,248,0.01
341229,28.03.2013,2,4,1,0,0,328,0.08
211709,26.02.2013,3,2,0,0,0,157,0.00
221694,12.01.2013,2,1,0,0,0,18,0.00
400818,12.03.2013,1,1,1,0,0,356,0.06
205300,11.02.2013,2,3,1,1,0,246,0.03
449375,05.03.2013,2,4,2,1,0,3732,0.33
427965,13.03.2013,3,0,0,1,1,0,3.61
194136,07.03.2013,2,3,0,1,0,493,0.00
205300,15.01.2013,1,2,0,0,0,44,0.00
455041,27.03.2013,3,2,0,0,1,259,0.00
196447,14.02.2013,0,1,1,0,0,96,0.08
221694,20.02.2013,3,3,0,0,0,816,0.00
430030,23.03.2013,1,6,0,0,0,473,0.00
196447,28.03.2013,1,1,1,0,0,291,0.20
412082,05.03.2013,3,1,1,0,0,161,0.03
266907,19.01.2013,2,0,1,0,0,26,0.01
400818,30.01.2013,2,6,6,0,0,776,0.00
473818,20.02.2013,1,0,2,0,0,89,0.10
356930,22.02.2013,2,4,3,0,0,476,0.34
266225,31.01.2013,1,3,0,1,0,908,0.00
465894,27.03.2013,3,2,0,0,0,306,0.00
266225,27.02.2013,2,2,0,3,0,63,0.00
402261,13.02.2013,1,1,1,0,0,82,0.01
449375,13.03.2013,3,1,2,0,0,175,0.05
164813,27.03.2013,2,2,2,0,0,86,0.05
427965,24.02.2013,1,0,1,0,0,11,0.05
356930,09.02.2013,3,0,1,0,0,33,0.03
356930,11.03.2013,2,1,1,0,0,68,0.03
168307,21.03.2013,3,0,0,0,1,0,0.00
465894,17.03.2013,2,2,0,0,1,87,0.00
473818,21.01.2013,2,3,5,0,0,406,0.19
400818,01.03.2013,1,2,2,0,0,249,0.00
356930,23.01.2013,3,1,0,0,0,27,0.00
402261,04.03.2013,1,2,2,0,0,116,0.06
221694,31.01.2013,2,0,0,0,1,0,0.00
400818,31.03.2013,1,2,2,0,0,210,0.04
318490,10.01.2013,3,2,1,0,0,698,0.03
219386,12.01.2013,1,0,1,0,0,217,0.03
98161,27.03.2013,2,2,1,0,0,125,0.07
266907,23.03.2013,1,1,2,0,0,188,0.06
341229,17.02.2013,3,2,0,0,0,182,0.00
454909,24.03.2013,3,0,1,0,0,34,0.05
221694,07.02.2013,3,0,0,0,1,0,0.05
211709,10.01.2013,1,4,1,0,2,627,0.11
465837,22.01.2013,2,3,3,0,0,647,0.11
221694,02.03.2013,1,1,0,1,0,10,0.00
168307,30.03.2013,3,1,0,0,0,17,0.00
98161,27.03.2013,3,2,0,0,0,82,0.00
400818,01.02.2013,2,7,4,0,3,1777,0.72
266225,05.02.2013,1,0,1,0,0,46,0.03
430030,20.02.2013,3,0,1,0,0,472,0.33
427965,11.01.2013,1,3,7,0,0,613,0.27
412082,21.03.2013,2,2,0,0,0,77,0.00
412082,19.02.2013,3,1,3,0,0,298,0.18
449375,01.03.2013,2,2,9,1,2,796,0.62
455041,11.02.2013,1,2,5,0,0,283,0.27
266907,24.03.2013,2,1,1,0,0,264,0.06
402261,06.02.2013,3,3,1,0,0,1941,0.09
98161,18.01.2013,3,2,2,0,0,260,0.07
98161,17.02.2013,2,1,0,0,0,64,0.00
221694,11.02.2013,1,0,0,2,0,0,0.00
356930,24.03.2013,1,1,1,0,0,123,0.02
465894,20.01.2013,3,1,0,0,0,163,0.00
465894,21.03.2013,1,2,1,0,0,53,0.11
402261,24.02.2013,3,2,3,0,0,1025,0.09
196447,25.02.2013,2,1,3,0,0,507,0.38
400818,23.03.2013,3,1,0,0,0,1088,0.00
465837,28.03.2013,3,1,3,0,0,234,1.47
486043,27.02.2013,3,1,3,0,0,371,0.18
318490,24.03.2013,3,1,1,0,0,397,0.03
400818,05.03.2013,3,3,0,0,0,2870,0.00
205300,20.03.2013,1,3,1,0,0,814,0.03
205300,18.02.2013,2,1,0,0,0,77,0.00
107682,11.01.2013,1,1,1,0,0,225,0.02
281640,17.03.2013,1,3,11,0,1,851,0.57
465837,17.03.2013,3,0,2,0,2,1689,0.39
356930,16.01.2013,3,1,2,0,0,156,0.11
356930,15.02.2013,2,0,3,0,0,278,0.33
430030,13.01.2013,1,1,1,0,0,65,0.01
412082,16.03.2013,3,2,1,0,0,83,0.05
275860,08.02.2013,1,1,2,0,0,183,0.05
402261,26.03.2013,2,2,3,0,0,1261,0.18
266907,24.01.2013,2,2,0,1,1,798,0.05
465894,12.02.2013,2,3,1,0,0,425,0.11
465894,13.01.2013,3,1,0,0,3,111,0.14
400818,17.01.2013,2,1,5,0,0,288,0.12
281640,15.02.2013,2,2,5,0,1,465,0.57
454909,11.03.2013,2,1,11,0,1,2184,0.00
341229,04.02.2013,2,3,4,0,0,715,0.49
465894,25.03.2013,3,2,0,0,0,246,0.00
147825,31.03.2013,2,0,1,0,0,722,0.75
147932,13.02.2013,1,3,2,0,0,903,0.12
380393,27.03.2013,2,5,0,0,0,273,0.00
147932,24.01.2013,3,1,2,0,0,308,0.27
115278,21.01.2013,2,0,1,0,0,30,0.06
147932,10.02.2013,1,3,1,0,0,304,0.01
154843,05.02.2013,1,7,1,0,0,982,0.06
400715,01.02.2013,2,3,4,0,1,1077,0.15
210527,26.01.2013,3,1,0,0,0,26,0.00
405965,02.03.2013,2,4,0,0,0,145,0.00
167543,24.01.2013,1,1,1,0,5,45,0.24
167543,28.01.2013,3,0,2,0,0,37,0.11
154843,30.01.2013,1,5,0,0,0,327,0.00
197434,13.02.2013,3,1,0,3,5,17,0.00
468267,17.02.2013,3,2,2,0,1,784,0.14
409986,14.02.2013,2,0,1,1,0,88,0.03
210527,17.01.2013,3,1,0,0,0,11,0.00
409986,11.02.2013,2,2,1,0,0,80,0.03
300945,28.01.2013,1,2,4,0,0,165,0.25
468267,28.01.2013,2,2,3,0,0,401,0.14
468267,27.02.2013,1,2,3,0,0,603,0.14
151701,24.01.2013,2,0,1,0,0,86,0.10
154843,13.02.2013,2,8,0,0,0,796,0.00
197434,19.03.2013,1,14,2,1,1,638,0.16
339456,04.02.2013,3,2,0,0,0,248,0.00
466204,31.03.2013,3,1,0,0,0,213,0.00
196489,30.01.2013,2,1,1,0,0,43,0.05
468267,14.03.2013,2,1,2,0,0,125,0.04
115278,26.03.2013,2,4,0,0,1,236,0.00
372073,28.02.2013,3,4,7,0,0,2951,0.19
405965,01.02.2013,1,1,1,0,0,57,0.01
151701,22.03.2013,2,2,0,3,0,238,0.00
151701,23.02.2013,1,1,1,2,0,155,0.10
300945,10.01.2013,2,0,5,0,0,260,0.31
151701,05.02.2013,2,1,2,0,0,158,0.08
468267,22.03.2013,1,2,2,1,0,178,0.10
300945,14.02.2013,1,1,2,1,0,205,0.12
448190,27.02.2013,3,1,3,1,0,127,0.15
147932,06.02.2013,2,1,1,1,0,56,0.02
468267,12.02.2013,3,1,2,0,3,144,0.24
410554,01.02.2013,1,0,0,1,0,0,0.00
300945,24.02.2013,2,1,2,0,0,276,0.15
468267,11.03.2013,2,2,5,0,0,1579,0.27
147932,10.01.2013,3,2,0,0,0,14,0.00
196489,21.03.2013,2,3,2,0,0,223,0.25
197434,15.03.2013,2,0,0,2,0,0,0.00
409986,24.03.2013,2,1,3,1,1,285,0.05
300945,25.01.2013,3,1,4,0,0,743,0.35
147825,26.01.2013,2,1,0,0,0,19,0.00
147825,25.02.2013,1,2,0,0,0,437,0.00
372073,23.03.2013,1,3,4,0,0,242,0.11
372073,21.02.2013,2,5,3,0,0,335,0.28
410554,20.03.2013,2,0,1,1,0,26,0.03
448190,12.02.2013,3,1,2,0,0,446,0.27
147932,14.01.2013,2,1,3,0,0,816,0.65
409986,09.03.2013,2,2,2,0,0,426,0.05
409741,21.03.2013,2,1,0,0,0,1363,0.00
409986,05.03.2013,3,1,2,0,0,185,0.05
196489,16.01.2013,2,2,0,0,0,26,0.00
431633,20.03.2013,3,0,1,1,0,9,0.07
431633,27.03.2013,2,2,0,0,0,49,0.00
400715,22.01.2013,1,6,1,2,0,805,0.05
197434,12.03.2013,1,0,1,0,1,7,0.05
431633,04.03.2013,1,2,1,0,0,120,0.01
167543,29.03.2013,2,4,4,3,1,491,0.37
372073,27.03.2013,3,1,0,0,0,20,0.00
154843,17.01.2013,3,1,1,0,0,213,0.03
410554,11.03.2013,1,1,1,1,0,220,0.03
147825,13.02.2013,2,1,0,0,0,305,0.00
147932,18.01.2013,1,1,0,0,0,155,0.00
400715,26.02.2013,1,2,1,1,0,242,0.17
115278,17.03.2013,2,0,2,0,0,212,0.16
115278,15.02.2013,3,1,1,0,0,117,0.05
372073,31.03.2013,2,2,1,0,1,368,0.28
147825,15.03.2013,1,7,0,1,0,1549,0.00
154843,10.01.2013,1,2,0,0,0,228,0.00
431633,24.03.2013,2,1,1,0,0,23,0.00
380393,22.01.2013,1,0,2,0,0,513,0.10
431633,14.02.2013,1,3,0,1,0,33,0.00
448190,12.02.2013,2,1,2,1,0,466,0.21
167543,28.02.2013,3,4,0,0,0,660,0.00
435815,10.03.2013,1,0,3,0,0,386,0.39
167543,19.01.2013,1,0,4,1,0,558,0.69
167543,16.01.2013,0,0,1,0,0,13,0.05
300945,17.01.2013,2,3,2,0,0,326,0.13
380393,20.03.2013,1,3,1,1,0,242,0.08
435815,08.02.2013,2,2,0,1,0,1469,0.00
372073,25.01.2013,2,6,4,3,0,644,0.13
197434,26.02.2013,1,1,2,0,1,903,0.88
405965,06.02.2013,2,4,1,0,1,466,0.11
151701,25.03.2013,3,1,3,1,1,98,0.23
300945,27.02.2013,3,0,1,0,0,11,0.06
401064,24.02.2013,1,2,1,0,1,161,0.05
282838,20.03.2013,3,1,0,0,0,23,0.00
339443,15.03.2013,3,0,3,4,0,1240,0.66
146551,16.03.2013,3,1,1,0,0,111,0.01
331791,11.02.2013,1,1,2,0,3,220,0.29
433571,18.01.2013,2,1,2,0,0,263,0.05
419633,17.02.2013,2,0,1,0,1,816,0.72
312069,14.02.2013,2,1,0,2,0,66,0.00
398124,23.02.2013,1,0,1,0,0,20,0.05
374490,15.01.2013,2,1,2,2,0,403,0.34
344527,10.02.2013,1,2,1,0,1,346,0.09
146551,12.01.2013,1,0,2,0,0,54,0.05
457118,04.03.2013,2,1,1,0,0,101,0.06
475400,17.02.2013,2,3,1,1,1,694,0.01
207064,16.01.2013,2,1,0,1,0,18,0.00
229977,17.03.2013,1,0,0,2,2,0,0.00
147887,11.01.2013,3,0,2,1,0,594,0.11
398124,19.03.2013,2,1,1,1,0,26,0.07
229977,25.02.2013,3,3,3,0,0,825,0.55
308142,14.02.2013,2,3,17,0,1,1266,2.44
433571,21.01.2013,2,1,0,0,0,71,0.00
207064,15.02.2013,3,2,0,0,0,108,0.00
396620,06.02.2013,2,2,3,1,0,314,0.20
187761,17.01.2013,2,0,1,0,0,358,0.22
419633,26.02.2013,2,0,6,1,2,364,0.48
308142,05.02.2013,2,0,0,0,1,0,0.00
482637,27.02.2013,1,5,1,0,0,1624,0.12
450498,30.03.2013,1,1,0,0,0,50,0.00
339443,07.03.2013,2,0,0,2,0,0,0.00
147887,27.03.2013,1,3,2,0,0,1146,0.05
409937,10.02.2013,1,1,0,0,0,23,0.00
398124,29.03.2013,3,1,0,0,0,58,0.00
409937,18.02.2013,2,2,0,0,2,90,0.09
308142,22.01.2013,2,0,3,0,3,228,0.46
457118,21.01.2013,3,1,0,0,0,48,0.00
344527,27.01.2013,1,2,0,4,3,399,0.14
229977,11.02.2013,3,3,3,2,0,487,0.22
359867,19.02.2013,1,1,1,0,0,55,0.06
312069,21.02.2013,2,0,0,1,0,0,0.00
401064,24.01.2013,2,1,4,0,1,266,0.18
331791,22.02.2013,2,5,2,2,2,1095,0.77
147887,15.01.2013,2,1,2,1,0,151,0.14
398124,27.03.2013,3,0,1,0,0,9,0.07
398124,30.03.2013,3,0,1,0,0,31,0.07
207064,20.02.2013,3,2,0,0,0,81,0.00
419633,21.02.2013,1,1,0,0,0,166,0.00
339443,28.01.2013,2,5,5,1,0,467,0.28
450498,29.03.2013,3,1,0,2,0,58,0.00
471207,13.03.2013,2,1,0,0,0,418,0.00
471207,11.02.2013,3,1,0,0,0,256,0.00
482637,09.03.2013,1,1,6,0,0,928,0.70
368342,19.02.2013,2,0,2,0,0,24,0.05
187761,12.02.2013,3,2,0,0,0,876,0.00
475400,17.03.2013,1,0,1,0,0,100,0.00
475400,15.02.2013,2,1,1,3,0,64,0.00
207064,17.02.2013,3,1,0,0,0,91,0.00
147887,14.02.2013,1,4,1,0,0,413,0.08
282838,14.01.2013,2,1,6,1,0,244,0.24
368342,15.02.2013,2,2,5,0,2,268,0.19
226186,15.02.2013,2,0,1,0,0,52,0.01
226186,17.03.2013,1,4,1,0,0,337,0.01
374490,20.03.2013,2,0,0,1,0,0,0.00
374490,18.02.2013,3,0,1,0,1,28,0.08
344527,20.01.2013,3,0,0,0,1,0,0.05
282838,21.03.2013,1,1,3,0,0,281,0.19
419633,19.03.2013,1,5,2,0,0,101,0.16
409937,14.02.2013,3,2,1,2,3,365,0.24
331791,12.01.2013,2,0,1,1,1,20,0.09
368342,11.02.2013,3,1,1,0,0,157,0.17
339443,20.01.2013,1,0,0,1,0,0,0.00
426100,04.02.2013,3,2,0,0,0,2446,0.00
471207,05.03.2013,1,0,2,0,0,162,0.16
433571,24.01.2013,3,0,1,0,0,8,0.03
359867,25.01.2013,2,2,0,0,0,210,0.00
426100,06.03.2013,2,3,0,1,0,151,0.00
433571,29.01.2013,3,0,1,0,0,16,0.05
