number_id,born_date,is_true
53987,17.02.1951,1
56010,03.02.1982,0
67546,28.02.1970,0
86280,17.02.1987,0
90258,18.02.1960,0
95785,30.03.1960,0
98161,30.01.1993,0
100183,03.03.1973,1
102043,23.03.1951,0
105062,14.03.1953,0
105190,31.03.1983,0
107682,15.03.1951,1
113701,19.01.1958,1
114583,05.02.1977,1
115278,26.01.1954,0
138304,01.02.1970,1
141403,15.03.1981,0
146551,12.02.1968,0
147782,13.03.1949,1
147825,15.03.1952,1
147887,01.03.1981,0
147932,12.02.1953,1
151701,07.02.1955,1
152206,25.01.1968,0
154843,14.01.1957,0
164813,28.02.1979,1
164873,25.01.1955,1
166672,26.01.1981,1
167543,20.03.1970,1
168307,26.02.1987,0
181276,11.03.1977,0
187761,11.02.1951,1
189866,30.03.1990,0
190546,04.03.1947,1
192799,01.03.1969,1
193276,25.03.1982,1
194136,23.01.1962,1
194538,06.02.1955,1
194570,26.02.1973,0
196186,19.02.1963,0
196446,18.02.1979,0
196447,10.01.1980,1
196489,25.01.1962,0
196742,26.03.1985,0
197434,14.03.1962,0
199725,02.03.1983,0
205300,14.03.1970,0
207064,14.03.1982,1
208874,14.02.1969,1
210527,15.01.1949,0
211709,23.03.1962,0
214365,18.02.1972,1
219386,13.03.1978,1
221694,06.03.1963,0
222411,15.02.1978,0
226186,12.03.1951,1
229977,26.02.1973,1
233545,04.03.1967,1
234416,26.01.1953,0
236168,06.02.1972,1
237494,25.01.1979,0
241435,31.03.1958,0
244049,06.03.1952,0
245037,28.03.1950,1
266225,25.02.1952,0
266907,12.03.1957,1
268038,27.01.1953,0
275860,11.02.1948,0
281640,23.03.1986,1
282838,01.02.1959,1
292478,25.01.1958,0
295977,19.03.1970,1
300945,25.03.1971,0
301680,12.03.1957,0
304263,24.02.1969,0
308142,03.03.1948,0
308983,26.03.1947,1
309003,13.01.1978,1
312069,13.02.1959,1
312598,01.03.1968,0
312851,24.02.1987,0
315980,19.02.1976,1
318490,12.02.1987,0
322696,20.03.1965,1
328288,15.03.1947,0
331791,04.03.1987,1
339443,25.03.1960,1
339456,27.02.1972,1
340671,25.01.1939,1
341229,12.02.1959,0
343971,15.02.1948,1
344527,13.02.1959,0
346626,28.02.1979,1
348251,31.03.1955,0
356930,30.03.1961,1
359867,28.01.1954,1
360011,10.03.1959,1
360758,29.03.1968,1
365242,10.03.1958,0
368342,22.02.1948,0
368348,21.02.1974,1
368878,25.02.1969,1
371049,21.02.1957,0
371105,28.01.1966,1
371886,22.03.1959,1
372073,31.01.1963,0
372091,31.03.1949,0
373363,22.01.1977,0
374490,06.03.1964,0
377199,05.03.1984,0
378152,07.02.1962,1
380393,23.01.1981,1
390158,23.01.1987,0
391018,14.02.1973,1
391401,10.02.1977,0
393888,01.02.1979,0
394805,27.02.1976,1
396620,17.03.1961,1
396668,19.01.1976,1
398014,29.03.1962,0
398124,14.02.1960,0
398151,18.03.1974,0
400053,23.03.1949,0
400419,06.03.1960,1
400715,22.01.1974,1
400818,22.03.1967,0
401064,13.01.1962,1
402261,25.01.1950,1
405466,22.01.1986,0
405846,24.01.1973,1
405965,11.02.1976,1
408865,19.01.1970,1
409741,17.01.1947,1
409937,14.01.1980,1
409986,01.03.1978,0
410554,16.01.1988,1
411968,10.01.1972,0
412082,05.02.1962,1
412780,01.03.1965,0
413103,06.03.1955,1
413438,15.03.1964,1
419633,06.02.1953,1
421004,15.03.1988,1
426100,13.03.1956,0
427965,16.01.1954,0
429346,08.02.1985,0
430030,08.02.1959,0
430547,14.01.1955,0
430739,14.01.1960,1
431126,10.01.1950,0
431633,28.03.1981,0
433571,14.02.1945,0
434146,24.02.1959,0
435214,06.03.1958,1
435387,22.02.1968,0
435457,11.01.1960,0
435815,07.03.1971,1
443696,28.03.1960,0
444476,17.03.1963,1
445357,05.03.1953,1
448190,16.01.1961,0
448891,13.03.1963,0
449375,28.02.1979,1
450498,27.03.1964,1
451599,02.02.1958,0
454880,01.03.1963,1
454909,20.02.1962,1
455041,25.03.1967,0
455119,30.03.1945,0
457118,01.03.1979,1
457711,26.01.1957,0
457958,29.03.1965,1
458163,17.03.1964,0
460476,01.02.1976,1
460621,12.03.1983,0
461639,18.02.1951,0
461822,16.01.1972,1
462239,29.03.1963,0
464033,25.03.1975,1
464914,22.03.1955,0
465407,05.02.1949,1
465837,05.02.1972,0
465894,27.03.1952,1
466204,09.02.1957,1
467263,26.03.1953,1
468267,18.01.1979,0
468764,19.03.1960,0
470478,19.03.1960,1
471207,19.02.1963,0
472098,29.03.1962,0
472487,07.02.1949,1
473818,22.01.1958,0
475400,15.02.1977,0
476042,15.01.1969,0
478168,06.03.1962,1
479007,05.03.1979,1
480717,16.02.1970,1
482637,12.01.1963,1
485419,19.01.1960,1
486043,20.02.1982,1
